代码,名称,类型,持仓数量,成本价,当前价,市值,累计盈亏,收益率%,日涨跌%,市场
002594,比亚迪,股票,2100,103.635,106.6,223860.0,6226.5,2.86,-0.04,A股
159326,电网设备,股票,5400,1.881,1.906,10292.4,135.0,1.33,2.86,A股
603019,中科曙光,股票,100,165.432,83.05,8305.0,-8238.2,-49.8,2.94,A股
603993,洛阳钼业,股票,300,20.514,17.89,5367.0,-787.2,-12.79,2.99,A股
003984,嘉实新能源新材料股票A,基金,1,25704.66,2.8511,45457.57,19752.91,76.85,1.38,A股
008586,华夏人工智能ETF联接D,基金,1,14000.0,1.3406,21150.06,7150.06,51.07,2.7,A股
000043,嘉实美国成长股票(QDII),基金,1,33000.0,5.343,35838.92,2838.92,8.6,0.68,美股
007904,华宝海外新能源汽车(QDII)A,基金,1,16000.0,1.5494,16521.56,521.56,3.26,1.77,海外
016440,华夏中证红利质量ETF联接A,基金,1,10591.89,1.1949,10795.4,203.51,1.92,2.04,A股
007467,华泰柏瑞中证红利低波动ETF联接C,基金,1,10427.77,1.6143,10127.99,-299.78,-2.87,0.72,A股
013231,博时智选量化多因子股票C,基金,1,9712.34,1.0859,8822.24,-890.1,-9.16,0.65,A股
015283,华安恒生科技ETF联接(QDII)C,基金,1,12004.32,1.1722,10490.03,-1514.29,-12.61,1.81,港股
YEB,余额宝,基金,1,363.45,1.0,461.9,98.45,27.09,0,现金
