名称,代码,类型,市值,日收益,持有收益,收益率,市场,占比
嘉实新能源新材料股票A,003984,基金,46090.54,859.37,20385.88,79.31,A股,27.94%
华夏人工智能ETF联接D,008586,基金,22473.41,432.15,8473.41,60.52,A股,13.62%
嘉实美国成长股票(QDII),000043,基金,37099.96,737.84,4099.96,12.42,美股,22.49%
华宝海外新能源汽车(QDII)A,007904,基金,17076.65,401.69,1076.65,6.73,海外,10.35%
华夏中证红利质量ETF联接A,016440,基金,11257.07,207.80,665.18,6.28,A股,6.83%
华泰柏瑞中证红利低波动ETF联接C,007467,基金,10166.89,-28.86,-260.88,-2.47,A股,6.16%
博时智选量化多因子股票C,013231,基金,9338.01,236.47,-374.33,-3.27,A股,5.66%
华安恒生科技ETF联接(QDII)C,015283,基金,10503.40,209.38,-1500.92,-12.50,港股,6.37%
余额宝,YEB,现金,961.78,0.02,98.33,0.00,现金,0.58%
比亚迪,002594,股票,202860.00,,,-6.79,A股,88.35%
电网设备,601669,股票,11421.00,,,12.44,A股,4.98%
中科曙光,603019,股票,8819.00,,,-46.69,A股,3.84%
洛阳钼业,603993,股票,6522.00,,,0.00,A股,2.84%
